Time,ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 1:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 1:Des Heat Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 1:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 1:Des Sens Cool Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 1:Des Tot Cool Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 2:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 2:Des Heat Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 2:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 2:Des Sens Cool Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 2:Des Tot Cool Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 3:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 3:Des Heat Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 3:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 3:Des Sens Cool Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 3:Des Tot Cool Cap [W]
01:00:00,4.554678E-02,1.390251E+03,1.064369E-01,9.931621E+02,8.854870E+02,4.554678E-02,1.651129E+03,4.554678E-02,5.246038E+01,5.054789E+02,2.367935E-01,8.702530E+03,4.554678E-02,0.000000E+00,0.000000E+00
02:00:00,4.554678E-02,1.418078E+03,9.754014E-02,8.660063E+02,7.505167E+02,4.554678E-02,1.678956E+03,4.554678E-02,2.463339E+01,4.204556E+02,2.367935E-01,8.702531E+03,4.554678E-02,0.000000E+00,0.000000E+00
03:00:00,4.554678E-02,1.438948E+03,8.989846E-02,7.598186E+02,6.372469E+02,4.554678E-02,1.699826E+03,4.554678E-02,3.763152E+00,3.580515E+02,2.367936E-01,8.702532E+03,4.554678E-02,0.000000E+00,0.000000E+00
04:00:00,4.554678E-02,1.459818E+03,8.258712E-02,6.573186E+02,5.269321E+02,4.554678E-02,1.720696E+03,4.554678E-02,0.000000E+00,2.967839E+02,2.367936E-01,8.702533E+03,4.554678E-02,0.000000E+00,0.000000E+00
05:00:00,4.554678E-02,1.473732E+03,7.638639E-02,5.741755E+02,4.367221E+02,4.554678E-02,1.734610E+03,4.554678E-02,0.000000E+00,2.565563E+02,2.367936E-01,8.702533E+03,4.554678E-02,0.000000E+00,0.000000E+00
06:00:00,4.554678E-02,1.459818E+03,1.107660E-01,9.719303E+02,8.933942E+02,4.554678E-02,1.720696E+03,4.705897E-02,0.000000E+00,3.289338E+02,2.367936E-01,8.702534E+03,4.554678E-02,0.000000E+00,0.000000E+00
07:00:00,4.554678E-02,1.411121E+03,1.732486E-01,1.718147E+03,1.726786E+03,4.554678E-02,1.671999E+03,9.807029E-02,6.177259E+02,1.511699E+03,2.367937E-01,8.702535E+03,4.554678E-02,0.000000E+00,0.000000E+00
08:00:00,4.554678E-02,1.292856E+03,2.372710E-01,2.551068E+03,2.593994E+03,4.554678E-02,1.553734E+03,1.634466E-01,1.465009E+03,2.794388E+03,2.367937E-01,8.702535E+03,4.554678E-02,0.000000E+00,0.000000E+00
09:00:00,4.554678E-02,1.160678E+03,2.968830E-01,3.348747E+03,3.387624E+03,4.554678E-02,1.421556E+03,2.221403E-01,2.251712E+03,3.582468E+03,2.367937E-01,8.702536E+03,4.554678E-02,0.000000E+00,0.000000E+00
10:00:00,4.554678E-02,1.042414E+03,3.500843E-01,4.061040E+03,4.099537E+03,4.554678E-02,1.303292E+03,2.748924E-01,2.958732E+03,4.212586E+03,2.367937E-01,8.702536E+03,4.554678E-02,0.000000E+00,0.000000E+00
