Time,ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s]
01:00:00,5.857655E+03,5.292227E+02,1.987766E-01,4.666801E-02
02:00:00,5.857722E+03,4.392833E+02,1.987789E-01,3.873684E-02
03:00:00,5.857785E+03,3.645953E+02,1.987810E-01,3.215002E-02
04:00:00,5.857846E+03,2.931552E+02,1.987831E-01,2.585012E-02
05:00:00,5.857904E+03,2.325754E+02,1.987851E-01,2.050802E-02
06:00:00,5.857959E+03,5.881126E+02,1.987869E-01,5.185801E-02
07:00:00,5.858012E+03,1.028254E+03,1.987887E-01,9.067821E-02
08:00:00,5.858063E+03,1.551368E+03,1.987904E-01,1.368286E-01
09:00:00,5.858111E+03,2.177246E+03,1.987921E-01,1.920382E-01
10:00:00,5.858157E+03,2.687902E+03,1.987937E-01,2.370604E-01
11:00:00,5.858201E+03,3.031996E+03,1.987952E-01,2.673918E-01
12:00:00,5.858243E+03,3.162697E+03,1.987966E-01,2.789086E-01
13:00:00,5.858284E+03,3.287849E+03,1.987979E-01,2.899399E-01
14:00:00,5.858322E+03,3.512479E+03,1.987992E-01,3.097471E-01
15:00:00,5.858359E+03,3.611081E+03,1.988005E-01,3.184425E-01
16:00:00,5.858394E+03,3.472504E+03,1.988017E-01,3.062209E-01
17:00:00,5.858427E+03,3.184091E+03,1.988028E-01,2.807846E-01
18:00:00,5.858459E+03,2.810198E+03,1.988039E-01,2.478112E-01
19:00:00,5.858490E+03,2.130072E+03,1.988049E-01,1.878346E-01
20:00:00,5.858519E+03,1.285906E+03,1.988059E-01,1.133925E-01
21:00:00,5.858547E+03,1.033037E+03,1.988069E-01,9.109239E-02
22:00:00,5.858574E+03,8.590494E+02,1.988078E-01,7.575199E-02
23:00:00,5.858599E+03,7.399085E+02,1.988087E-01,6.524669E-02
24:00:00,5.858624E+03,6.312428E+02,1.988095E-01,5.566455E-02
Peak,5.858624E+03,3.611081E+03,1.988095E-01,3.184425E-01

Peak Vol Flow (m3/s),,,2.060028E-01,3.299643E-01
