Electricity:Facility,ElectricityProduced:Facility,Electricity:Grid:ToLoad,Electricity:Grid:ToBattery,Electricity:Storage:ToLoad,Electricity:Storage:ToGrid,Electricity:Storage:StateOfCharge,ElectricityProduced:Generator:Total,ElectricityProduced:Generator:ToBattery,ElectricityProduced:Generator:ToLoad,ElectricityProduced:Generator:ToGrid,ElectricityProduced:PV:Total,ElectricityProduced:PV:ToBattery,ElectricityProduced:PV:ToLoad,ElectricityProduced:PV:ToGrid,ElectricityProduced:Wind:Total,ElectricityProduced:Wind:ToBattery,ElectricityProduced:Wind:ToLoad,ElectricityProduced:Wind:ToGrid,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature
37.7199,0.0,37.7199,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0.0,33.644,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.2873,0.0,29.2873,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.3788,0.0,28.3788,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.2316,0.0,28.2316,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,1885.996561,0,0,0,0,0,0,0,0,0,0
18.1469,0.0,18.1469,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,1682.199351,0,0,0,0,0,0,0,0,0,0
18.1821,2.58948,15.5926,0.0,0.0,0,1.0,,0,0,0,2.58948,0.0,2.58948,0.0,,0,0,0,1464.363824,0,0,0,0,0,0,0,0,0,0
13.1658,5.21149,7.95431,0.0,0.0,0,1.0,,0,0,0,5.21149,0.0,5.21149,0.0,,0,0,0,1418.939699,0,0,0,0,0,0,0,0,0,0
12.5835,7.59219,4.99131,0.0,0.0,0,1.0,,0,0,0,7.59219,0.0,7.59219,0.0,,0,0,0,1411.580432,0,0,0,0,0,0,0,0,0,0
14.0289,12.2749,0.902953,0.0,0.851006,0,0.279196306704135,,0,0,0,12.2749,0.0,12.2749,0.0,,0,0,0,907.3467985,0,0,0,0,0,0,0,0,0,0
