Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW),Zone Thermal Comfort Fanger Model PMV(),Zone Thermal Comfort Fanger Model PPD(),REopt:ElectricityProduced:Total(kw),REopt:Electricity:Load:Total(kw),REopt:Electricity:Grid:ToLoad(kw),REopt:Electricity:Grid:ToBattery(kw),REopt:Electricity:Storage:ToLoad(kw),REopt:Electricity:Storage:ToGrid(kw),REopt:Electricity:Storage:StateOfCharge(pct),REopt:ElectricityProduced:Generator:Total(kw),REopt:ElectricityProduced:Generator:ToBattery(kw),REopt:ElectricityProduced:Generator:ToLoad(kw),REopt:ElectricityProduced:Generator:ToGrid(kw),REopt:ElectricityProduced:PV:Total(kw),REopt:ElectricityProduced:PV:ToBattery(kw),REopt:ElectricityProduced:PV:ToLoad(kw),REopt:ElectricityProduced:PV:ToGrid(kw),REopt:ElectricityProduced:Wind:Total(kw),REopt:ElectricityProduced:Wind:ToBattery(kw),REopt:ElectricityProduced:Wind:ToLoad(kw),REopt:ElectricityProduced:Wind:ToGrid(kw)
2012.0,2.742000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.742000000000007,2.742000000000007,0.0,3.046666666666674,0.0,2.742000000000007,3.046666666666674,-0.9127664431328915,18.862031214721256,0.0,2.742,2.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,2.742000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.742000000000007,2.742000000000007,0.0,3.046666666666674,0.0,2.742000000000007,3.046666666666674,-0.7834141565454181,16.52955288765493,0.0,2.742,2.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,2.742000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.742000000000007,2.742000000000007,0.0,3.046666666666674,0.0,2.742000000000007,3.046666666666674,-0.7636609887750934,16.20310744073703,0.0,2.742,2.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,2.742000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.742000000000007,2.742000000000007,0.0,3.046666666666674,0.0,2.742000000000007,3.046666666666674,-0.8033336212076649,16.85980687433633,0.0,2.8920000000000003,2.8920000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,2.8920000000000075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8920000000000075,2.8920000000000075,0.0,3.213333333333341,0.0,2.8920000000000075,3.213333333333341,-0.8614100728853571,17.88724969476266,0.0,2.21687,2.21687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,2.2168653809763237,0.0,0.2875978646408204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2168653809763237,2.2168653809763237,0.0,2.463183756640359,0.0,2.2168653809763237,2.463183756640359,-0.8878976607973276,18.38296928564604,0.0,3.7603799999999996,3.7603799999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,3.7603796751792524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7603796751792524,3.7603796751792524,0.0,4.178199639088058,0.0,3.7603796751792524,4.178199639088058,-0.6918522015117751,15.056104112658389,0.0,6.25649,6.25649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,6.256491015656071,0.0,0.5653592749975304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.256491015656071,6.256491015656071,0.0,6.951656684062301,0.0,6.256491015656071,6.951656684062301,-0.5238151283174193,12.911931355399503,0.0,6.20778,6.20778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,6.2077840942823705,0.0,1.9786528407601542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2077840942823705,6.2077840942823705,0.0,6.897537882535968,0.0,6.2077840942823705,6.897537882535968,-0.20967572011860164,10.547139301781144,0.0,6.1902,6.1902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,6.190200142456762,0.0,1.891531375187868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.190200142456762,6.190200142456762,0.0,6.878000158285292,0.0,6.190200142456762,6.878000158285292,-0.03438483630247994,10.11523510359217,0.0,6.18394,6.18394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
