Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),Cooling:Electricity(kWh),Heating:Electricity(kWh),InteriorLights:Electricity(kWh),ExteriorLights:Electricity(kWh),InteriorEquipment:Electricity(kWh),Fans:Electricity(kWh),Pumps:Electricity(kWh),WaterSystems:Electricity(),HeatRejection:Electricity(),HeatRejection:Gas(kBtu),Heating:Gas(kBtu),WaterSystems:Gas(kBtu),InteriorEquipment:Gas(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kVA),ElectricityProduced:Facility Apparent Power(kVA),Net Power(kW),Net Apparent Power(kVA),Ice Thermal Storage End Fraction(),Cooling Coil Ice Thermal Storage End Fraction()
2012/06/01 01:00:00,8.992324211403991,0.0,0.0,3.748324211403991,0.0,1.0799999999999983,2.274000000000002,1.8899999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.992324211403991,8.992324211403991,0.0,9.991471346004435,0.0,8.992324211403991,9.991471346004435,0.0,0.17949842898209942
2012/06/01 02:00:00,10.977723369539099,0.0,0.0,5.7337233695390974,0.0,1.0799999999999983,2.274000000000002,1.8899999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.977723369539099,10.977723369539099,0.0,12.197470410599,0.0,10.977723369539099,12.197470410599,0.0,0.4578337150550209
2012/06/01 03:00:00,10.81941029329214,0.0,0.0,5.5754102932921406,0.0,1.0799999999999983,2.274000000000002,1.8899999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.81941029329214,10.81941029329214,0.0,12.021566992546823,0.0,10.81941029329214,12.021566992546823,0.0,0.6772592986575786
2012/06/01 04:00:00,10.7245674676745,0.0,0.0,5.480567467674499,0.0,1.0799999999999983,2.274000000000002,1.8899999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7245674676745,10.7245674676745,0.0,11.916186075193888,0.0,10.7245674676745,11.916186075193888,0.0,0.8968719850153521
2012/06/01 05:00:00,11.009336481598607,0.0,0.0,5.465336481598607,0.0,1.3799999999999981,2.274000000000002,1.8899999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.009336481598607,11.009336481598607,0.0,12.232596090665119,0.0,11.009336481598607,12.232596090665119,0.0,1.1144162465331315
2012/06/01 06:00:00,11.052604822380836,0.0,28.79890179179764,5.481762448362208,0.0,1.3799999999999981,0.0,1.8899999999999997,2.3008423740186323,0.0,0.0,0.0,0.0,28.79890179179764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.052604822380836,11.052604822380836,0.0,12.280672024867595,0.0,11.052604822380836,12.280672024867595,0.0,1.257116474284063
2012/06/01 07:00:00,6.711002164032694,0.0,24.804798847968662,0.0,0.0,2.519999999999996,0.0,1.8899999999999997,2.3008423740186323,0.0001597900140658361,0.0,0.0,0.0,24.804798847968662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.711002164032694,6.711002164032694,0.0,7.456669071147438,0.0,6.711002164032694,7.456669071147438,0.0,1.325485761877591
2012/06/01 08:00:00,11.51532566813264,0.0,2.7356203159027266,0.03432350409995303,0.0,5.3999999999999915,0.0,3.7799999999999994,2.3008423740186323,0.00015979001406583605,0.0,0.0,0.0,0.12386923046124043,2.611751085441486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.51532566813264,11.51532566813264,0.0,12.794806297925156,0.0,11.51532566813264,12.794806297925156,0.0,1.320547697276098
2012/06/01 09:00:00,11.57801222655522,0.0,2.8632522972556633,0.09701006252253416,0.0,5.3999999999999915,0.0,3.7799999999999994,2.3008423740186323,0.00015979001406583605,0.0,0.0,0.0,0.0,2.8632522972556633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57801222655522,11.57801222655522,0.0,12.8644580295058,0.0,11.57801222655522,12.8644580295058,0.0,1.3167268360143254
2012/06/01 10:00:00,11.54587094340734,0.0,2.16737470827625,0.06486877937465219,0.0,5.3999999999999915,0.0,3.7799999999999994,2.3008423740186323,0.00015979001406583605,0.0,0.0,0.0,0.0,2.16737470827625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.54587094340734,11.54587094340734,0.0,12.828745492674821,0.0,11.54587094340734,12.828745492674821,0.0,1.3125793264135404
