Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),Cooling:Electricity(kWh),Heating:Electricity(kWh),InteriorLights:Electricity(kWh),ExteriorLights:Electricity(kWh),InteriorEquipment:Electricity(kWh),Fans:Electricity(kWh),Pumps:Electricity(kWh),WaterSystems:Electricity(),HeatRejection:Electricity(),HeatRejection:Gas(kBtu),Heating:Gas(kBtu),WaterSystems:Gas(kBtu),InteriorEquipment:Gas(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Cooling Coil Total Cooling Rate(W),ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC ELECTRIC BACKUP HTG COIL(W),ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC GAS HTG COIL(W),Zone Thermal Comfort Fanger Model PMV(),Zone Thermal Comfort Fanger Model PPD(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kVA),ElectricityProduced:Facility Apparent Power(kVA),Net Power(kW),Net Apparent Power(kVA),Ice Thermal Storage End Fraction(),Cooling Coil Ice Thermal Storage End Fraction()
2012/06/01 01:00:00,3.57522926677195,0,0.0,1.8272292667719432,0.0,0.360000000000001,0.7580000000000032,0.6300000000000026,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1.268723851485337,38.67083525551041,3.57522926677195,3.57522926677195,0.0,3.9724769630799446,0.0,3.57522926677195,3.9724769630799446,0,0.09015859346652383
2012/06/01 02:00:00,3.518805229240665,0,0.0,1.7708052292406584,0.0,0.360000000000001,0.7580000000000032,0.6300000000000026,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1.1720063997541317,33.89091836268388,3.518805229240665,3.518805229240665,0.0,3.9097835880451832,0.0,3.518805229240665,3.9097835880451832,0,0.2299466989673028
2012/06/01 03:00:00,3.4821854497238984,0,0.0,1.734185449723892,0.0,0.360000000000001,0.7580000000000032,0.6300000000000026,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1.1168726046387552,31.290038164941464,3.4821854497238984,3.4821854497238984,0.0,3.869094944137665,0.0,3.4821854497238984,3.869094944137665,0,0.34012668116724576
2012/06/01 04:00:00,3.455173771262949,0,0.0,1.707173771262942,0.0,0.360000000000001,0.7580000000000032,0.6300000000000026,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1.11332064077196,31.12585558106656,3.455173771262949,3.455173771262949,0.0,3.839081968069943,0.0,3.455173771262949,3.839081968069943,0,0.45035801925547486
2012/06/01 05:00:00,3.550261417564682,0,0.0,1.702261417564675,0.0,0.46000000000000124,0.7580000000000032,0.6300000000000026,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1.1311635550224997,31.95482734562958,3.550261417564682,3.550261417564682,0.0,3.944734908405202,0.0,3.550261417564682,3.944734908405202,0,0.5595518216982291
2012/06/01 06:00:00,3.501699093941304,0,8.820638826831972,1.7075203739027638,0.0,0.46000000000000124,0.0,0.6300000000000026,0.7041787200385367,0.0,0,0,0,8.820638826831972,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2068.05924846584,-1.12554030669611,31.69244252865417,3.501699093941304,3.501699093941304,0.0,3.890776771045893,0.0,3.501699093941304,3.890776771045893,0,0.6311932725458849
2012/06/01 07:00:00,2.174231983376563,0,6.738665925454549,0.0,0.0,0.8400000000000023,0.0,0.6300000000000026,0.7041787200385367,5.326333802194553e-05,0,0,0,6.738665925454549,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1579.926427444842,-0.5922456451656928,12.352574756374864,2.174231983376563,2.174231983376563,0.0,2.415813314862848,0.0,2.174231983376563,2.415813314862848,0,0.6657809619863593
2012/06/01 08:00:00,3.7880591801447663,0,0.5643813608912951,0.02382719676819795,0.0,1.800000000000005,0.0,1.2600000000000051,0.7041787200385367,5.326333802194553e-05,0,0,0,0.0,0.5643813608912951,0,0,0,0,0,0,0,0,0,0,0,92.41667691011529,0.0,0.0,-0.42808071688474786,8.821415838394557,3.7880591801447663,3.7880591801447663,0.0,4.208954644605296,0.0,3.7880591801447663,4.208954644605296,0,0.6642301180705099
2012/06/01 09:00:00,3.7966938985593006,0,1.3963880095609782,0.03246191518273228,0.0,1.800000000000005,0.0,1.2600000000000051,0.7041787200385367,5.326333802194553e-05,0,0,0,0.0,1.3963880095609782,0,0,0,0,0,0,0,0,0,0,0,125.88136649814611,0.0,0.0,-0.3280106192032724,7.237294100993225,3.7966938985593006,3.7966938985593006,0.0,4.218548776177,0.0,3.7966938985593006,4.218548776177,0,0.6627616719338709
2012/06/01 10:00:00,3.7642319833765687,0,1.3963880095609782,0.0,0.0,1.800000000000005,0.0,1.2600000000000051,0.7041787200385367,5.326333802194553e-05,0,0,0,0.0,1.3963880095609782,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-0.23696769718582542,6.16524829817817,3.7642319833765687,3.7642319833765687,0.0,4.182479981529521,0.0,3.7642319833765687,4.182479981529521,0,0.6609665774582199
