Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),Cooling:Electricity(kWh),Heating:Electricity(kWh),InteriorLights:Electricity(kWh),ExteriorLights:Electricity(kWh),InteriorEquipment:Electricity(kWh),Fans:Electricity(kWh),Pumps:Electricity(kWh),WaterSystems:Electricity(),HeatRejection:Electricity(),HeatRejection:Gas(kBtu),Heating:Gas(kBtu),WaterSystems:Gas(kBtu),InteriorEquipment:Gas(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Cooling Coil Total Cooling Rate(W),ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC ELECTRIC BACKUP HTG COIL(W),ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC GAS HTG COIL(W),Zone Thermal Comfort Fanger Model PMV(),Zone Thermal Comfort Fanger Model PPD(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kVA),ElectricityProduced:Facility Apparent Power(kVA),Net Power(kW),Net Apparent Power(kVA),Ice Thermal Storage End Fraction(),Cooling Coil Ice Thermal Storage End Fraction()
2012/06/01 01:00:00,2.1095387852890752,0,0.0,1.1155387852890755,0.0,0.17999999999999983,0.499,0.3150000000000001,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1.3467709954523646,42.69756071458084,2.1095387852890752,2.1095387852890752,0.0,2.343931983654528,0.0,2.1095387852890752,2.343931983654528,0,0.08933983551557559
2012/06/01 02:00:00,2.0750775675541138,0,0.0,1.0810775675541135,0.0,0.17999999999999983,0.499,0.3150000000000001,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1.2365973506149914,37.05479763023798,2.0750775675541138,2.0750775675541138,0.0,2.305641741726793,0.0,2.0750775675541138,2.305641741726793,0,0.22788701608771808
2012/06/01 03:00:00,2.0526950363190926,0,0.0,1.058695036319093,0.0,0.17999999999999983,0.499,0.3150000000000001,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1.1845161591833375,34.49424921697707,2.0526950363190926,2.0526950363190926,0.0,2.2807722625767695,0.0,2.0526950363190926,2.2807722625767695,0,0.33713261749033285
2012/06/01 04:00:00,2.0362606806694092,0,0.0,1.042260680669409,0.0,0.17999999999999983,0.499,0.3150000000000001,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1.1882485923525603,34.6751665531163,2.0362606806694092,2.0362606806694092,0.0,2.2625118674104545,0.0,2.0362606806694092,2.2625118674104545,0,0.44651396575987723
2012/06/01 05:00:00,2.0832777740219615,0,0.0,1.0392777740219612,0.0,0.22999999999999982,0.499,0.3150000000000001,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1.2123881716936116,35.85505526146302,2.0832777740219615,2.0832777740219615,0.0,2.314753082246624,0.0,2.0832777740219615,2.314753082246624,0,0.5548644248349024
2012/06/01 06:00:00,2.028147578689257,0,5.182804570658153,1.0424994260402487,0.0,0.22999999999999982,0.0,0.3150000000000001,0.4406481526490086,0.0,0,0,0,5.182804570658153,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1215.1440656130153,-1.2091633910038535,35.69646869256292,2.028147578689257,2.028147578689257,0.0,2.25349730965473,0.0,2.028147578689257,2.25349730965473,0,0.6259232017381782
2012/06/01 07:00:00,1.1756747843180195,0,4.339821541214742,0.0,0.0,0.4199999999999996,0.0,0.3150000000000001,0.4406481526490086,2.6631669010972712e-05,0,0,0,4.339821541214742,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1017.5009147522137,-0.6293183708219712,13.311582778112893,1.1756747843180195,1.1756747843180195,0.0,1.3063053159089106,0.0,1.1756747843180195,1.3063053159089106,0,0.6597047998912318
2012/06/01 08:00:00,1.970674784318019,0,0.0,0.0,0.0,0.8999999999999992,0.0,0.6300000000000002,0.4406481526490086,2.6631669010972715e-05,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-0.4407943555864454,9.053342054752264,1.970674784318019,1.970674784318019,0.0,2.1896386492422435,0.0,1.970674784318019,2.1896386492422435,0,0.6563175792055882
2012/06/01 09:00:00,1.9879207283721885,0,0.0,0.01724594405416934,0.0,0.8999999999999992,0.0,0.6300000000000002,0.4406481526490086,2.6631669010972715e-05,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,66.8844817355059,0.0,0.0,-0.3656287037730192,7.78269153039561,1.9879207283721885,1.9879207283721885,0.0,2.2088008093024314,0.0,1.9879207283721885,2.2088008093024314,0,0.6539651640804544
2012/06/01 10:00:00,1.9969038563303392,0,0.4951605058816632,0.02622907201231999,0.0,0.8999999999999992,0.0,0.6300000000000002,0.4406481526490086,2.6631669010972715e-05,0,0,0,0.0,0.4951605058816632,0,0,0,0,0,0,0,0,0,0,0,101.71105686038385,0.0,0.0,-0.30633689134240044,6.950335395256559,1.9969038563303392,1.9969038563303392,0.0,2.218782062589266,0.0,1.9969038563303392,2.218782062589266,0,0.6516127489553205
